Trading Name,Outlet Name,Website,Outlet Address,Outlet Suburb,Outlet Postcode,Telephone Number,Online Mail Order Flag,Australia Wide Flag,Overseas Flag,Senior Scheme Flag,Carer Scheme Flag,Business Category,Discount,Latitude,Longitude
@ Beans,@ Beans,(blank),59 Albany Creek Rd,ASPLEY,4034,0431 788 312,No,Yes,No,Yes,No,Cafes,10% discount on presentation of Seniors card.,-27.362013,153.01414
Amazing Clean Blinds,Amazing Clean Blinds,www.amazingclean.com.au,Mobile Business - Sunshine Coast,(blank),4558,1300 138 150,No,Yes,No,Yes,Yes,Cleaning Products and Services,10% off blind cleaning and repairs.,-26.655013,153.079996
PurePro,PurePro,www.purepro.com.au,Mobile Business Sunshine Coast Area,(blank),4564,1800 850 416,No,Yes,No,Yes,Yes,Gourmet and Specialty Items,10% off retail price of all goods and services.,-26.609277,153.094965
1300SMILES,1300 Smiles Mackay,www.1300smiles.com.au,34 Sydney St,MACKAY,4740,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-21.140718,149.186806
Sunni Clotheslines & Letterboxes,Sunni Clotheslines & Letterboxes,www.sunni.com.au,Mobile Service - Sunshine Coast All Areas,(blank),4558,(07) 5493 3599,No,Yes,Yes,Yes,Yes,Hardware and Tools,10% discount on products only.,-26.655013,153.079996
1300SMILES,1300SMILES,www.1300smiles.com.au,Bundaberg Burnett Dental - 11 Barolin St,BUNDABERG,4670,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-24.866975,152.348855
1300SMILES,1300SMILES,www.1300smiles.com.au,Northshore Medical Cnt - 50 Northshore Blvd,BURDELL,4818,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.254008,146.703033
1300SMILES,1300SMILES,www.1300smiles.com.au,Post Office Bldg - 155 Bourbong St,BUNDABERG,4670,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-24.865851,152.3484
1300SMILES,1300SMILES Barry Street Dental,www.1300smiles.com.au,6 Barry St,WEST GLADSTONE,4680,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-23.864171,151.242979
1300SMILES,1300SMILES Belgian Gardens,www.1300smiles.com.au,"89 Bundock St, Belgian Gardens",TOWNSVILLE,4810,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.247645,146.792609
1300SMILES,1300SMILES Cairns Central,www.1300smiles.com.au,Cairns Central Shp Cnt,CAIRNS,4870,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-16.924746,145.77154
1300SMILES,1300SMILES Carseldine,www.1300smiles.com.au,Central Shp Cnt - 735 Beams Rd,CARSELDINE,4034,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.345021,153.011068
1300SMILES,1300SMILES Dentistry Carindale,www.1300smiles.com.au,Medical Court - Westfield Shp Cnt,CARINDALE,4152,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.504049,153.09984
1300SMILES,1300SMILES Douglas,www.1300smiles.com.au,Medilink Retail Cnt - 100 Angus Smith Dr,DOUGLAS,4814,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.320457,146.761994
1300SMILES,1300SMILES Fulham Road,www.1300smiles.com.au,49 Fulham Rd,PIMLICO,4812,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.288807,146.785123
1300SMILES,1300SMILES High Street Dental,www.1300smiles.com.au,100 High St,ROCKHAMPTON,4701,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-23.359086,150.528484
1300SMILES,1300SMILES Smithfield,www.1300smiles.com.au,Smithfield Shp Cnt,SMITHFIELD,4878,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-16.838022,145.689359
1300SMILES,1300SMILES Springwood,www.1300smiles.com.au,Chatswood Central Shp Cnt - cnr Chatswood/Magellan Rds,SPRINGWOOD,4127,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.633825,153.138621
1300SMILES,1300SMILES Strathpine,www.1300smiles.com.au,Strathpine Square - 328 Gympie Rd,STRATHPINE,4500,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.306667,152.988792
1300SMILES,1300SMILES Toowoomba,www.1300smiles.com.au,"362B Bridge St, Wilsonton",TOOWOOMBA,4350,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.550037,151.945366
1300SMILES,1300SMILES Townsville City,www.1300smiles.com.au,Northtown - 1st Floor 280 Flinders St,TOWNSVILLE,4810,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.259283,146.817768
1300SMILES,1300SMILES Upper Ross,www.1300smiles.com.au,1199 Riverway Dr,RASMUSSEN,4815,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.360833,146.73148
1300SMILES,1300SMILES Woodlands,www.1300smiles.com.au,Centro Woodlands Shp Cnt,DEERAGUN,4818,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.245792,146.67565
1st Choice Group (Aust) Pty Ltd (Elect Lic 35130),"1st Choice Electrical, 1st Choice Airconditioning",(blank),Mobile Service,LOGAN,4123,1300 726 211,No,No,No,Yes,Yes,Electricians,10% discount on materials and 10% discount on labour.,(blank),(blank)
